cur_rate,cur_ee,per_ee,b_type,p_type,tenure,area,water_ee,wind_ee,wall_ee,roof_ee,heat_ee,con_ee,light_ee,pv,sol_wat,quality_index,build_year,building_age,fuel_group,is_community_heating,has_boiler,has_air_hp,has_ground_hp,has_micro_chp,has_community,has_storage_heaters,has_room_heaters,has_electric_underfloor,has_electric_ceiling,has_radiators,has_underfloor,has_warm_air,uses_gas,uses_oil,uses_electricity,uses_biomass,uses_coal,floor_type,floor_boundary,floor_insulation,floor_u_value,floor_ins_num,dhw_no_cylinder_stat,dhw_has_solar,dhw_has_waste_heat,dhw_system,dhw_energy,wall_type,wall_insulation,wall_u_value,roof_type,roof_boundary,roof_insulation_type,roof_insulation_mm,roof_u_value,has_time_control,has_temp_control,has_room_control,glazing_type,glazing_quality,glazing_level,glazing_coverage
c,72.0,75.0,mid-terrace,flat,rented (social),52.0,4,3,3,2,4,4,5,no,no,3.6,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,50.0,,1,1,1,double,unknown,double,full
c,78.0,93.0,mid-terrace,house,rented (private),54.0,4,4,4,4,4,4,5,no,no,4.2,2004,20,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,insulated,,2.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,loft,150.0,,1,1,1,double,modern,double,full
c,71.0,80.0,end-terrace,house,owner-occupied,196.0,4,3,1,4,4,4,5,no,no,3.6,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,roof_room,external,insulated,,,1,1,1,double,unknown,double,mostly
c,73.0,75.0,semi-detached,flat,rented (social),54.0,4,4,3,0,4,4,5,no,no,3.2,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,modern,double,full
d,61.0,83.0,detached,house,owner-occupied,129.0,3,4,2,1,4,4,5,no,no,3.2,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,1,0,0,boiler,unknown,cavity,none,,pitched,external,none,,,1,1,1,double,modern,double,full
c,69.0,82.0,semi-detached,house,owner-occupied,102.0,4,4,3,1,4,4,5,no,no,3.4,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,limited,,,1,1,1,double,modern,double,full
c,70.0,85.0,semi-detached,house,rented (private),93.0,4,3,2,4,4,4,5,no,no,3.8,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,pitched,external,loft,200.0,,1,1,1,double,unknown,double,full
d,62.0,77.0,semi-detached,house,owner-occupied,123.0,4,3,2,4,4,4,5,no,no,3.8,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,pitched,external,loft,150.0,,1,1,1,double,unknown,double,full
c,70.0,83.0,detached,house,owner-occupied,134.0,4,3,2,3,4,4,5,no,no,3.6,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,pitched,external,loft,100.0,,1,1,1,double,unknown,double,full
d,62.0,78.0,detached,bungalow,owner-occupied,107.0,3,4,4,5,3,4,5,no,no,4.2,1986,38,oil,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,loft,300.0,,1,1,1,double,modern,double,full
